short,dom,n,errors,acc,auroc_recomp,auroc,ci_lo,ci_hi,ci_w
Qwen Think,Factual,250,18,0.928,0.6798371647509579,0.6798,0.5219,0.8147,0.2928
Qwen Think,Formal,250,8,0.968,0.6438533057851239,0.6439,0.4481,0.8442,0.3961
Qwen Think,Human.,250,10,0.96,0.7143750000000001,0.7144,0.5389,0.8815,0.3426
Qwen Think,Science,250,14,0.944,0.7568099273607747,0.7568,0.6227,0.8739,0.2512
Qwen Think,Social,250,32,0.872,0.767631880733945,0.7676,0.6882,0.8421,0.1539
Sonnet 4,Applied,250,21,0.916,0.828030775629029,0.828,0.7624,0.887,0.1246
Sonnet 4,Factual,250,16,0.936,0.6829594017094017,0.683,0.5449,0.8199,0.275
Sonnet 4,Formal,250,9,0.964,0.735131396957123,0.7351,0.544,0.8931,0.3491
Sonnet 4,Human.,250,13,0.948,0.7562479714378448,0.7562,0.6217,0.8652,0.2435
Sonnet 4,Science,250,16,0.936,0.7856570512820513,0.7857,0.6619,0.8968,0.2349
Sonnet 4,Social,250,21,0.916,0.794343938448742,0.7943,0.7109,0.8666,0.1557
Sonnet 4.5,Applied,250,26,0.896,0.8487293956043955,0.8487,0.779,0.9095,0.1305
Sonnet 4.5,Factual,250,13,0.948,0.709185329438494,0.7092,0.5447,0.8597,0.3151
Sonnet 4.5,Formal,250,7,0.972,0.752498530276308,0.7525,0.4554,0.9919,0.5365
Sonnet 4.5,Human.,250,7,0.972,0.7148736037624926,0.7149,0.4417,0.9135,0.4718
Sonnet 4.5,Science,250,12,0.952,0.7584033613445378,0.7584,0.5801,0.9054,0.3253
Sonnet 4.5,Social,250,16,0.936,0.8007478632478632,0.8007,0.7097,0.8869,0.1772
Sonnet 4.6,Applied,250,20,0.92,0.8867391304347827,0.8867,0.8196,0.9366,0.117
Sonnet 4.6,Factual,250,17,0.932,0.7799798030800302,0.78,0.6347,0.8895,0.2549
Sonnet 4.6,Formal,250,8,0.968,0.7877066115702479,0.7877,0.5278,0.9747,0.4469
Sonnet 4.6,Human.,250,13,0.948,0.759818240830899,0.7598,0.5731,0.9219,0.3488
Sonnet 4.6,Science,250,12,0.952,0.781687675070028,0.7817,0.6046,0.9144,0.3098
Sonnet 4.6,Social,250,27,0.892,0.6937385816309584,0.6937,0.5885,0.7843,0.1958
